axis,size,objective,seed,dir1_auc,mag_r2,vol20_r2,regime_bacc,effective_rank,supervised_sharpe
feature,24,auto,20260814,0.5136813537675606,0.033391660100152265,-0.19761026686200145,0.6226456871618162,4.482583045959473,0.8354401377709315
feature,24,auto,111,0.5099616858237548,0.04167516810977123,-0.05566182661175545,0.6113256113256114,4.562353610992432,0.6617829187942285
feature,24,auto,222,0.5189894636015325,0.07657478590109001,-0.1806427490671616,0.6287900804029837,4.4302473068237305,0.9800652934367795
feature,24,auto,333,0.5064695083014048,0.05024596667744685,-0.30012398508295557,0.6171793913729398,4.425468444824219,0.42977269003776436
feature,24,auto,444,0.5028935185185185,-0.07918874685692079,-0.3225199969140988,0.6276137889041115,4.416266441345215,0.5641158449871131
feature,24,auto,555,0.48882503192848015,0.020462465482878445,-0.23461999531837474,0.6294681778552746,4.526642799377441,0.6252740895698256
feature,24,auto,666,0.5120090996168583,0.05606380954971635,-0.2825425477302861,0.6456179681986134,4.53200626373291,0.6551727349007563
feature,24,auto,777,0.5152817688378033,0.021487801870111012,-0.13676307954957667,0.6167503909439394,4.442651748657227,0.6433894733364146
feature,24,auto,888,0.5021272349936142,0.01873034372116944,-0.30062400480230766,0.6303261787132755,4.527872562408447,1.1630018894463883
feature,24,auto,999,0.49201787994891444,-0.02315400545316071,0.1713153479665609,0.6114639985607727,4.508443832397461,0.2624608016531998
feature,32,auto,20260814,0.49269236909323116,0.03667901565749343,0.09302300306337585,0.6259770453318839,5.119863510131836,0.3628981580195701
feature,32,auto,111,0.5024305555555556,0.034641667260026376,0.09705808577213393,0.6881783333396236,5.189895153045654,0.6570606876392144
feature,32,auto,222,0.5187260536398467,0.04700460329577205,-0.07821756860973905,0.7329252167961845,4.950427532196045,0.7916194465645073
feature,32,auto,333,0.5235153256704981,0.025228936286900372,-0.06615315767471874,0.6434729660536113,5.019203186035156,0.6320947112969586
feature,32,auto,444,0.5072477650063857,-0.006103711314933591,0.025735243673759012,0.8469550405034276,5.047243595123291,0.48654598028401314
feature,32,auto,555,0.5122685185185185,0.02852988434051895,-0.040621106601153034,0.6450883225076773,5.1832966804504395,0.8293135791538706
feature,32,auto,666,0.5340197956577267,0.03458773858431474,-0.06057597353348898,0.603921894244475,5.192277908325195,1.199681368217973
feature,32,auto,777,0.5230324074074073,0.00048547245828411967,-0.025711002936709804,0.6257178837823999,5.186383247375488,0.46479219807395317
feature,32,auto,888,0.49733796296296295,0.04283390144347321,-0.026945628659192478,0.6069248972474779,5.109182834625244,0.6011300842504483
feature,32,auto,999,0.5343630268199234,0.07449291379159673,0.1657045599694289,0.7169452653323621,5.243622303009033,1.2758504600903053
feature,4,predictive,20260814,0.4950351213282248,0.08624137176844182,0.4059036138472467,0.8963064446935415,2.631901741027832,1.089859608345361
feature,4,predictive,111,0.4968430715197957,0.05623113016238246,0.42912862460116497,0.8755483594193271,1.9966719150543213,0.8862844917641587
feature,4,predictive,222,0.48705699233716476,0.0625793081473005,0.3885030809511614,0.8749117781375846,2.820915937423706,0.8008175081270482
feature,4,predictive,333,0.49384977650063855,0.04236105620730246,0.3618679835506524,0.8956283472412504,2.367915630340576,0.48393924968554436
feature,4,predictive,444,0.5105204342273308,0.019349648474520587,0.4478619247730893,0.884266755234497,2.0097975730895996,1.1741714895506443
feature,4,predictive,555,0.49642001915708817,0.06820899359758092,0.4047790433846604,0.884266755234497,2.191821813583374,0.6834185997602695
feature,4,predictive,666,0.4920537994891443,0.060218214553312,0.3729978494213462,0.883381076929464,3.286402940750122,0.5525956860550583
feature,4,predictive,777,0.49784881864623237,0.08494916165567701,0.40536732892855665,0.8687673848964171,2.456483840942383,0.8660104338213268
feature,4,predictive,888,0.49839958492975733,0.0734779092723421,0.36884659876273984,0.8966662515049612,2.7018392086029053,1.0196425565861829
feature,4,predictive,999,0.49051325031928483,0.056012980582500815,0.3615944580346542,0.8898437608115027,2.333670139312744,0.707050340064798
feature,8,predictive,20260814,0.5196120689655173,-0.01778741565486297,0.07481195870128332,0.5582541066412033,2.7743353843688965,1.0363887340856675
feature,8,predictive,111,0.5055076628352491,-0.022631531207913724,0.043692424140127195,0.5830530991821314,2.9253504276275635,0.5155736394443328
feature,8,predictive,222,0.5222581417624521,-0.07690977832208157,-0.14770407797545126,0.5888376856118792,2.909433126449585,0.9447674317095499
feature,8,predictive,333,0.5057391443167305,-0.028991284903631342,-0.06338830781559168,0.5924495924495924,2.632495641708374,0.6511079812853495
feature,8,predictive,444,0.507132024265645,-0.008028103545156373,0.06175537318237534,0.5741547999612516,2.8317582607269287,0.7517138843395812
feature,8,predictive,555,0.5181353767560665,0.04708437406976684,0.0817925115109086,0.5770886093466738,3.022714376449585,0.7473226027229228
feature,8,predictive,666,0.5199952107279694,-0.0187869094110793,-0.0061945208681699615,0.5748328974135425,2.135822296142578,0.8476578340419575
feature,8,predictive,777,0.5203184865900383,0.008278741512813381,0.2041111994247775,0.5780849974398361,2.2435097694396973,1.0725545075025706
feature,8,predictive,888,0.5175167624521073,0.02725958689512009,0.19862621980626716,0.5810464842722908,2.2664763927459717,0.6618768289244233
feature,8,predictive,999,0.503500159642401,-0.002023037677416406,0.08708703105336757,0.5936950775660453,2.3092474937438965,0.2856853430308206
feature,12,predictive,20260814,0.5230124521072796,0.024499944237026283,0.02989119217809677,0.5714700875991199,2.325676441192627,0.9462021788330869
feature,12,predictive,111,0.525846104725415,-0.008028104405481296,0.11590359301552222,0.570612086741119,2.294945478439331,0.6818296977359958
