model,feature,lag,ik,da,dh,dh_rel
TACR,rv20,4,1.5864440428003945e-08,8.336296014022082e-05,0.002832035068422556,0.0013512949094579936
TACR,rv20,5,1.7393160689493925e-08,9.527876682113856e-05,0.00300628156401217,0.0014344359712006685
TACR,rv20,6,2.406469690185986e-08,0.00011308580724289641,0.0032062483951449394,0.0015298493945664557
TACR,rv20,7,2.69212065973079e-08,0.00012334753409959376,0.0033651411067694426,0.0016056644558848038
TACR,rv20,8,2.7656591683467013e-08,0.00013045474770478904,0.0035117194056510925,0.0016756037413563328
TACR,rv20,9,3.4504662238532546e-08,0.00014163558080326766,0.0036758179776370525,0.001753902759418092
TACR,rv20,10,3.4242717106280907e-08,0.0001443360815756023,0.0038660478312522173,0.0018446702204863946
TACR,rv20,11,3.473252974117713e-08,0.00014494116476271302,0.004028355702757835,0.0019221148125311775
TACR,rv20,12,3.9783710548135787e-08,0.0001529052824480459,0.004271274898201227,0.002038022795406236
TACR,rv20,13,4.284153121147938e-08,0.00015790834731888026,0.004492050968110561,0.002143365268995307
TACR,rv20,14,4.593081115444875e-08,0.000160045427037403,0.004694704432040453,0.0022400606091222295
TACR,rv20,15,4.934070929607515e-08,0.00016485049854964018,0.004969389643520117,0.0023711256273893267
